epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,391.298,2.0803,2.98224,1.84927,0.47385,0.12931,0.11255,0.04446,2.40696,3.75913,2.10798,0.000332936,0.000332936,0.0670393
2,796.928,1.98888,2.56264,1.7904,0.38537,0.302,0.25838,0.11021,2.12432,2.87329,1.89935,0.000653077,0.000653077,0.0340261
3,1173.31,1.94019,2.4495,1.74143,0.33798,0.29466,0.24377,0.10561,2.11097,2.75944,1.91879,0.000960018,0.000960018,0.000999748
4,1547.54,1.89786,2.37539,1.70777,0.40086,0.34774,0.30448,0.13705,1.99925,2.46889,1.79307,0.0009406,0.0009406,0.0009406
5,1924.56,1.8533,2.28742,1.67203,0.35941,0.34551,0.25734,0.11639,2.02429,2.70269,1.82126,0.0009208,0.0009208,0.0009208
6,2308.21,1.82508,2.22128,1.64916,0.36831,0.37088,0.29968,0.13549,1.97668,2.54972,1.79496,0.000901,0.000901,0.000901
7,2687.73,1.80459,2.17273,1.62917,0.44654,0.39644,0.37144,0.18067,1.88993,2.2498,1.68845,0.0008812,0.0008812,0.0008812
8,3068.74,1.78153,2.12164,1.61174,0.48905,0.43502,0.42174,0.20022,1.87091,2.19904,1.68479,0.0008614,0.0008614,0.0008614
9,3452.74,1.76587,2.08454,1.59055,0.50819,0.44144,0.43632,0.20933,1.82886,2.13353,1.66811,0.0008416,0.0008416,0.0008416
10,3834.29,1.7456,2.04587,1.58093,0.51921,0.45488,0.45001,0.21972,1.84011,2.07326,1.6531,0.0008218,0.0008218,0.0008218
11,4210.99,1.73286,2.02247,1.57743,0.52951,0.47137,0.47155,0.23433,1.81088,2.05336,1.63828,0.000802,0.000802,0.000802
12,4587.61,1.72447,1.97994,1.55757,0.52332,0.46628,0.46762,0.23563,1.79533,2.02651,1.60926,0.0007822,0.0007822,0.0007822
13,4972.87,1.71727,1.96477,1.55254,0.5509,0.48227,0.492,0.25125,1.77292,2.02621,1.59113,0.0007624,0.0007624,0.0007624
14,5366.78,1.70212,1.94363,1.54259,0.55252,0.4923,0.50609,0.25908,1.7494,1.95366,1.5844,0.0007426,0.0007426,0.0007426
15,5754.24,1.69984,1.92572,1.53416,0.56408,0.49418,0.50872,0.25829,1.7563,1.94355,1.57741,0.0007228,0.0007228,0.0007228
16,6141.55,1.69101,1.8978,1.53,0.57148,0.50019,0.51999,0.26883,1.73531,1.90938,1.56133,0.000703,0.000703,0.000703
17,6526.17,1.67948,1.88948,1.52512,0.58814,0.49782,0.52082,0.27168,1.72998,1.89651,1.55429,0.0006832,0.0006832,0.0006832
18,6913.12,1.67083,1.86967,1.51909,0.58075,0.5083,0.53218,0.27552,1.7264,1.87362,1.55904,0.0006634,0.0006634,0.0006634
19,7299.65,1.66505,1.85612,1.51481,0.59413,0.51617,0.54135,0.28542,1.70509,1.86192,1.54526,0.0006436,0.0006436,0.0006436
20,7697.39,1.65798,1.83473,1.50421,0.59235,0.51799,0.54471,0.28756,1.70683,1.84484,1.53147,0.0006238,0.0006238,0.0006238
21,8110.9,1.64743,1.8129,1.49493,0.5949,0.52534,0.55034,0.28965,1.70767,1.81747,1.53164,0.000604,0.000604,0.000604
22,8520.49,1.64034,1.7977,1.4913,0.59371,0.52898,0.5513,0.29334,1.70147,1.8081,1.52805,0.0005842,0.0005842,0.0005842
23,8912,1.63102,1.78092,1.48334,0.61404,0.52889,0.56026,0.29769,1.6949,1.79399,1.52395,0.0005644,0.0005644,0.0005644
24,9296.9,1.62391,1.77141,1.47623,0.61414,0.53117,0.56704,0.30191,1.69522,1.78229,1.51658,0.0005446,0.0005446,0.0005446
25,9668.85,1.61729,1.75914,1.48029,0.61612,0.53434,0.56856,0.30421,1.6919,1.77876,1.51879,0.0005248,0.0005248,0.0005248
26,10039,1.6042,1.74193,1.471,0.61663,0.53865,0.56976,0.30614,1.68646,1.7629,1.51394,0.000505,0.000505,0.000505
27,10420.8,1.59942,1.71813,1.46031,0.61776,0.53871,0.57335,0.30757,1.68048,1.75504,1.50879,0.0004852,0.0004852,0.0004852
28,10794.5,1.60528,1.7267,1.46327,0.61958,0.53969,0.57679,0.31125,1.6766,1.74579,1.50574,0.0004654,0.0004654,0.0004654
29,11184.4,1.59701,1.70644,1.45944,0.62265,0.54172,0.57852,0.31246,1.67541,1.73853,1.50403,0.0004456,0.0004456,0.0004456
30,11581.4,1.58588,1.69232,1.45354,0.62383,0.54277,0.58105,0.3134,1.6756,1.73182,1.50563,0.0004258,0.0004258,0.0004258
31,11969.7,1.58198,1.68336,1.45,0.62663,0.54347,0.58405,0.31444,1.67198,1.72845,1.50279,0.000406,0.000406,0.000406
32,12356.2,1.57109,1.66107,1.43546,0.62779,0.54659,0.58657,0.31548,1.67149,1.72239,1.4988,0.0003862,0.0003862,0.0003862
33,12740.7,1.57648,1.65956,1.4416,0.6266,0.54923,0.58837,0.3169,1.66921,1.71643,1.49699,0.0003664,0.0003664,0.0003664
34,13130.5,1.56517,1.64044,1.43468,0.62337,0.55295,0.5886,0.31749,1.6704,1.70998,1.49759,0.0003466,0.0003466,0.0003466
35,13520.1,1.56374,1.63545,1.42918,0.62139,0.55373,0.58887,0.31789,1.67003,1.70744,1.49679,0.0003268,0.0003268,0.0003268
36,13912.8,1.55313,1.62445,1.42625,0.62831,0.54912,0.59043,0.31872,1.67034,1.70235,1.4957,0.000307,0.000307,0.000307
37,14305.7,1.55029,1.6097,1.41901,0.62843,0.54844,0.59114,0.31987,1.66859,1.69914,1.49459,0.0002872,0.0002872,0.0002872
38,14695.6,1.55149,1.6108,1.42585,0.62548,0.5528,0.59199,0.32075,1.66761,1.6965,1.49372,0.0002674,0.0002674,0.0002674
39,15095.5,1.53818,1.58575,1.41106,0.62801,0.55453,0.59285,0.32142,1.66763,1.69463,1.49363,0.0002476,0.0002476,0.0002476
40,15494.4,1.53516,1.57818,1.41021,0.63056,0.5539,0.59395,0.32181,1.66739,1.69196,1.49244,0.0002278,0.0002278,0.0002278
41,15872.9,1.53375,1.50769,1.44511,0.62879,0.55575,0.5939,0.32272,1.6665,1.68954,1.49151,0.000208,0.000208,0.000208
42,16244.7,1.5262,1.47659,1.44135,0.6283,0.55686,0.59496,0.32325,1.66569,1.68684,1.49031,0.0001882,0.0001882,0.0001882
43,16618.6,1.51017,1.45869,1.42768,0.63243,0.55469,0.59628,0.32384,1.66572,1.68409,1.48952,0.0001684,0.0001684,0.0001684
44,17007.5,1.50726,1.45244,1.42951,0.6279,0.55967,0.59754,0.32476,1.66523,1.68265,1.48934,0.0001486,0.0001486,0.0001486
45,17384.3,1.50285,1.42747,1.42616,0.63194,0.5587,0.5983,0.32542,1.66595,1.68052,1.48952,0.0001288,0.0001288,0.0001288
46,17761.2,1.49226,1.41076,1.41772,0.63228,0.56037,0.59898,0.32579,1.66494,1.6792,1.48895,0.000109,0.000109,0.000109
47,18131.3,1.48749,1.4001,1.41116,0.63553,0.55732,0.59969,0.32631,1.66529,1.67734,1.48928,8.92e-05,8.92e-05,8.92e-05
48,18503,1.47661,1.39768,1.40553,0.63205,0.56034,0.59991,0.32658,1.66504,1.6757,1.489,6.94e-05,6.94e-05,6.94e-05
49,18874.9,1.47931,1.38443,1.40923,0.6329,0.56169,0.60047,0.32725,1.66449,1.67426,1.48833,4.96e-05,4.96e-05,4.96e-05
50,19246.8,1.47496,1.38971,1.40592,0.63388,0.56116,0.60075,0.32752,1.66479,1.67265,1.48831,2.98e-05,2.98e-05,2.98e-05
