epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,608.295,2.02989,2.7272,1.86749,0.24964,0.18587,0.12917,0.04701,2.32607,3.96659,2.14041,0.000332995,0.000332995,0.0670335
2,1218.38,1.97444,2.49313,1.81874,0.36024,0.29742,0.25,0.10446,2.12534,2.66646,1.98475,0.000653135,0.000653135,0.0340203
3,1814.32,1.91762,2.36689,1.7645,0.39896,0.32747,0.30086,0.13262,1.98596,2.38075,1.80938,0.000960075,0.000960075,0.000993916
4,2397.77,1.87365,2.2781,1.72641,0.39788,0.38134,0.33982,0.15407,1.93506,2.24752,1.75445,0.0009406,0.0009406,0.0009406
5,2980.01,1.82358,2.16534,1.68885,0.49063,0.42185,0.40603,0.18936,1.86442,2.13302,1.71346,0.0009208,0.0009208,0.0009208
6,3562.81,1.78981,2.09506,1.653,0.52234,0.43124,0.42703,0.20128,1.84601,2.04669,1.67042,0.000901,0.000901,0.000901
7,4145.87,1.7664,2.03195,1.63251,0.53118,0.44814,0.45881,0.2206,1.79598,1.96263,1.64386,0.0008812,0.0008812,0.0008812
8,4728.9,1.74438,1.97085,1.6185,0.53607,0.46472,0.46778,0.22655,1.78957,1.98898,1.64453,0.0008614,0.0008614,0.0008614
9,5310.96,1.72905,1.94716,1.60313,0.54737,0.4737,0.48019,0.23509,1.75768,1.91412,1.60184,0.0008416,0.0008416,0.0008416
10,5893.31,1.71039,1.89957,1.58975,0.53038,0.49973,0.49311,0.24679,1.7272,1.8834,1.60379,0.0008218,0.0008218,0.0008218
11,6474.95,1.69756,1.86298,1.57473,0.55996,0.50159,0.5113,0.25812,1.70961,1.80404,1.58417,0.000802,0.000802,0.000802
12,7056.18,1.68738,1.84753,1.5669,0.57738,0.50287,0.51927,0.26369,1.71136,1.80358,1.58055,0.0007822,0.0007822,0.0007822
13,7636.66,1.67067,1.80705,1.55217,0.58885,0.50663,0.53147,0.27363,1.69664,1.76943,1.56763,0.0007624,0.0007624,0.0007624
14,8219.75,1.6585,1.77773,1.54014,0.59673,0.5192,0.54831,0.28489,1.67388,1.71209,1.55826,0.0007426,0.0007426,0.0007426
15,8800.38,1.64246,1.75161,1.53074,0.59801,0.51948,0.55442,0.28736,1.66617,1.70889,1.54404,0.0007228,0.0007228,0.0007228
16,9382.34,1.63675,1.71798,1.52489,0.61008,0.52458,0.56057,0.29298,1.66571,1.67488,1.53915,0.000703,0.000703,0.000703
17,9964.3,1.62353,1.70746,1.51751,0.60983,0.541,0.56654,0.29632,1.66481,1.64859,1.54078,0.0006832,0.0006832,0.0006832
18,10546,1.61828,1.68478,1.50885,0.62264,0.5421,0.57426,0.30238,1.65449,1.63099,1.53002,0.0006634,0.0006634,0.0006634
19,11127.5,1.60748,1.65991,1.50197,0.63841,0.53937,0.58109,0.30743,1.64752,1.61794,1.51833,0.0006436,0.0006436,0.0006436
20,11709.5,1.5996,1.63875,1.49194,0.62673,0.55527,0.58679,0.31267,1.63568,1.58895,1.51099,0.0006238,0.0006238,0.0006238
21,12291.9,1.58964,1.62312,1.48629,0.63063,0.55518,0.59256,0.31729,1.63041,1.57605,1.50871,0.000604,0.000604,0.000604
22,12874.5,1.58013,1.59444,1.47741,0.6321,0.5547,0.59407,0.31997,1.62976,1.56645,1.50357,0.0005842,0.0005842,0.0005842
23,13455.9,1.57226,1.59384,1.47215,0.63859,0.56424,0.60054,0.32236,1.62156,1.55405,1.49702,0.0005644,0.0005644,0.0005644
24,14037.6,1.5648,1.57263,1.4629,0.63908,0.5668,0.60343,0.3248,1.62066,1.53977,1.49212,0.0005446,0.0005446,0.0005446
25,14618.3,1.55583,1.55723,1.45922,0.63718,0.56796,0.60633,0.32731,1.61536,1.533,1.48816,0.0005248,0.0005248,0.0005248
