epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,522.407,2.0165,2.75313,1.82455,0.26894,0.19185,0.12435,0.04813,2.38922,3.3547,2.20361,0.000332936,0.000332936,0.0670393
2,1061.72,1.97279,2.4821,1.78777,0.32862,0.30182,0.23845,0.10181,2.11345,2.73229,1.8738,0.000653077,0.000653077,0.0340261
3,1581.52,1.91233,2.37664,1.73356,0.35718,0.3441,0.28413,0.12498,2.00878,2.62222,1.85746,0.000960018,0.000960018,0.000999748
4,2101.7,1.86358,2.28621,1.69602,0.42828,0.39003,0.35093,0.15331,1.9581,2.32994,1.76239,0.0009406,0.0009406,0.0009406
5,2605.43,1.82098,2.19825,1.66101,0.43818,0.38468,0.35709,0.16935,1.90443,2.33135,1.75745,0.0009208,0.0009208,0.0009208
6,3115.99,1.78604,2.13553,1.64158,0.43826,0.44408,0.39808,0.19176,1.86613,2.17469,1.71261,0.000901,0.000901,0.000901
7,3623.41,1.76315,2.06566,1.61922,0.50167,0.44459,0.43281,0.21204,1.84378,2.12878,1.66955,0.0008812,0.0008812,0.0008812
8,4131.9,1.73983,2.01784,1.59552,0.50588,0.46992,0.45148,0.22244,1.8169,2.08108,1.66314,0.0008614,0.0008614,0.0008614
9,4644.78,1.71576,1.97721,1.57639,0.53196,0.46367,0.46691,0.23313,1.77539,2.02115,1.62845,0.0008416,0.0008416,0.0008416
10,5151.57,1.69697,1.93893,1.5649,0.53998,0.48462,0.48337,0.24221,1.76665,1.95552,1.60791,0.0008218,0.0008218,0.0008218
11,5657.54,1.6841,1.91247,1.56074,0.55955,0.49397,0.50732,0.25731,1.76395,1.94341,1.61616,0.000802,0.000802,0.000802
12,6164.69,1.67896,1.86355,1.54121,0.54829,0.50138,0.5061,0.25567,1.74601,1.92492,1.59097,0.0007822,0.0007822,0.0007822
